         41662604 function calls (40090220 primitive calls) in 230.319 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    19478    0.023    0.000    0.144    0.000 instructions.py:415(__init__)
     4010    0.023    0.000    0.079    0.000 instructions.py:113(_descr)
    55920    0.023    0.000    0.046    0.000 utils.py:305(stream_list)
      248    0.023    0.000    0.536    0.002 registry.py:54(apply)
     6076    0.023    0.000    0.231    0.000 connection.py:516(Pipe)
     3094    0.023    0.000    0.102    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    18304    0.022    0.000    1.031    0.000 connection.py:365(_send)
29447/29109    0.022    0.000    0.098    0.000 context.py:507(can_convert)
     5648    0.022    0.000    1.092    0.000 values.py:799(<listcomp>)
     6085    0.022    0.000    0.036    0.000 _parallel_backends.py:280(__init__)
     6073    0.022    0.000   14.004    0.002 __init__.py:1272(normalize_L2)
  232/187    0.022    0.000    0.132    0.001 {built-in method _imp.exec_dynamic}
     4824    0.022    0.000    0.065    0.000 ir.py:575(__repr__)
     6109    0.022    0.000    0.190    0.000 uuid.py:780(uuid4)
     6073    0.021    0.000    0.039    0.000 __init__.py:247(replacement_train)
    24855    0.021    0.000    0.021    0.000 functools.py:64(wraps)
    12200    0.021    0.000    0.046    0.000 _bootlocale.py:33(getpreferredencoding)
    90379    0.021    0.000    0.061    0.000 templates.py:355(<genexpr>)
   220436    0.021    0.000    0.021    0.000 {method 'values' of 'dict' objects}
      363    0.020    0.000    0.055    0.000 doccer.py:10(docformat)
    25664    0.020    0.000    0.023    0.000 {built-in method _functools.reduce}
52047/50582    0.020    0.000    0.062    0.000 misc.py:47(unliteral)
    24530    0.020    0.000    0.096    0.000 ffi.py:309(close)
     3338    0.020    0.000    0.041    0.000 typeinfer.py:496(fold_arg_vars)
21007/13798    0.020    0.000    0.022    0.000 {built-in method _abc._abc_subclasscheck}
     1322    0.020    0.000    0.590    0.000 std.py:1195(update)
    24292    0.020    0.000    0.020    0.000 threading.py:1042(name)
42028/6158    0.020    0.000    0.722    0.000 utils.py:164(natsort_key)
 1231/265    0.020    0.000    0.129    0.000 sre_parse.py:493(_parse)
    24235    0.020    0.000    0.057    0.000 numpy_support.py:336(ufunc_can_cast)
   264/94    0.020    0.000   12.698    0.135 typeinfer.py:141(propagate)
    42745    0.020    0.000    0.033    0.000 ir.py:1211(find_insts)
    30443    0.020    0.000    0.033    0.000 os.py:748(encode)
    37058    0.020    0.000    0.090    0.000 functions.py:232(_unlit_non_poison)
    12305    0.020    0.000    0.020    0.000 weakref.py:328(__init__)
    35870    0.020    0.000    0.020    0.000 spectrum.py:930(scale_intensity)
     2612    0.019    0.000    0.263    0.000 npydecl.py:96(generic)
    13804    0.019    0.000    0.071    0.000 errors.py:437(catch_warnings)
    35841    0.019    0.000    0.099    0.000 swigfaiss.py:5056(add_with_ids)
    35871    0.019    0.000    0.613    0.000 utils.py:223(<genexpr>)
     6190    0.019    0.000    0.574    0.000 cgutils.py:873(gep)
     1371    0.019    0.000    1.541    0.001 postproc.py:68(run)
     6073    0.019    0.000   14.900    0.002 pool.py:651(terminate)
      471    0.019    0.000    0.019    0.000 {built-in method builtins.compile}
     5403    0.019    0.000    0.053    0.000 interpreter.py:692(store)
    68948    0.019    0.000    0.019    0.000 {method 'encode' of 'str' objects}
   134961    0.019    0.000    0.019    0.000 builder.py:195(block)
41079/41051    0.018    0.000    0.215    0.000 manager.py:33(__getitem__)
    14572    0.018    0.000    0.182    0.000 models.py:626(get)
    12146    0.018    0.000    3.384    0.000 synchronize.py:161(__init__)
    77139    0.018    0.000    0.018    0.000 {method 'append' of 'collections.deque' objects}
   141083    0.018    0.000    0.018    0.000 {method 'rstrip' of 'str' objects}
8001/7973    0.018    0.000    0.036    0.000 numpy_support.py:124(as_dtype)
    91833    0.018    0.000    0.024    0.000 _utils.py:71(_stringify_metadata)
    11187    0.018    0.000    0.205    0.000 value.py:143(name)
    76709    0.018    0.000    0.018    0.000 {built-in method _abc.get_cache_token}
     1354    0.018    0.000    0.018    0.000 {built-in method io.open_code}
    17068    0.018    0.000    0.149    0.000 ansitowin32.py:43(isatty)
     6073    0.018    0.000    0.054    0.000 __init__.py:766(replacement_init)
     6073    0.017    0.000    0.017    0.000 pool.py:927(_setup_queues)
    63169    0.017    0.000    0.018    0.000 ffi.py:93(__getattr__)
     6163    0.017    0.000    0.611    0.000 std.py:1157(__iter__)
     2030    0.017    0.000    0.036    0.000 controlflow.py:570(_find_back_edges)
    23052    0.017    0.000    0.093    0.000 ssa.py:177(_run_ssa_block_pass)
    59355    0.017    0.000    0.076    0.000 templates.py:1186(new_registrations)
14038/10180    0.017    0.000    0.031    0.000 pprint.py:502(_safe_repr)
    70023    0.017    0.000    0.017    0.000 parallel.py:275(__len__)
    12118    0.017    0.000    0.066    0.000 builder.py:281(goto_entry_block)
   210135    0.017    0.000    0.017    0.000 fake_fastnumbers.py:84(<lambda>)
3442/2910    0.016    0.000    0.111    0.000 inspect.py:2218(_signature_from_callable)
    79403    0.016    0.000    0.016    0.000 controlflow.py:124(predecessors)
    97357    0.016    0.000    0.016    0.000 {method 'bit_length' of 'int' objects}
    12220    0.016    0.000    0.022    0.000 codecs.py:309(__init__)
    22843    0.016    0.000    0.075    0.000 ffi.py:352(__del__)
